cdn_id	name	muscle
24811201	Barbell-Standing-Back-Wrist-Curl-(female)	Forearms
24821201	Dumbbell-Bent-Over-Row-(female)	Back
24831201	Dumbbell-Biceps-Curl-(female)	Upper-Arms
24841201	Dumbbell-Deadlift-(female)	Back
24851201	Dumbbell-Hammer-Curl-(female)	Upper-Arms
24871201	Dumbbell-Rear-Delt-Fly-(female)	Shoulders
24911201	Cable-Reverse-Grip-Pulldown-(female)	Back
24931201	Dumbbell-Incline-Biceps-Curl-(female)	Upper-Arms
24961201	Dumbbell-Prone-Incline-Curl-(female)	Upper-Arms
25001201	Dumbbell-Incline-Rear-Fly-(female)	Shoulders
25021201	Barbell-Front-Squat-(female)	Thighs
25061201	Barbell-Prone-Incline-Curl-(female)	Upper-Arms
25101201	Dumbbell-Incline-Row-(female)	Back
25141201	Dumbbell-Incline-Fly-(female)	Chest
25241201	Power-Sled-Push-(female)	Thighs
25301201	Hanging-Straight-Leg-Raise-(female)	Hips
25431201	Assisted-Close-grip-Underhand-Chin-up-(female)	Back
25461201	Bench-dip-on-floor-(female)	Upper-Arms
25751201	Assisted-Triceps-Dip-(kneeling)-(female)	Upper-Arms
25801201	Cable-Standing-Inner-Curl-(female)	Upper-Arms
25811201	Cable-One-Arm-Curl-(female)	Upper-Arms
25961201	Dumbbell-Shrug-(female)	Back
25971201	Dumbbell-Side-Bend-(female)	Waist
26011201	Dumbbell-One-Arm-Triceps-Extension-(on-bench)-(female)	Upper-Arms
26061201	Barbell-Seated-Overhead-Triceps-Extension-(female)	Upper-Arms
26111201	Lever-Horizontal-One-leg-Press	Hips
26121201	Jump-Rope-(male)	Cardio
26151201	Close-Grip-Push-up-(female)	Upper-Arms
26171201	Smith-Chair-Squat-(female)	Thighs
26331201	Dumbbell-Seated-Palms-Up-Wrist-Curl-(female)	Forea
26461201	Dumbbell-Cross-Body-Hammer-Curl-(Version-2)-(female)	Upper-Arms
26611201	Cable-Seated-Row-with-V-bar	Back
26971201	Diamond-Push-up-(female)	Upper-Arms
28191201	Lever-Preacher-Curl-(VERSION-2)-(female)	Upper-Arms
28851201	Lever-T-bar-Row-(plate-loaded)-(female)	Back
29211201	Pike-Push-up	Chest
29391201	Kettlebell-Around-Head-Rotation	Back
29541201	Cable-Standing-Reverse-Grip-Curl-(Straight-bar)	Fo
29601201	Dumbbell-Split-Squat	Thighs
29721201	Side-Lunge	Thighs
29971201	Band-Assisted-Pull-Up-(VERSION-3)	Back
30271201	Barbell-Drag-Curl-(female)	Upper-Arms
30541201	Cable-Lateral-Raise-(female)	Shoulders
30941201	Jumping-Jack-(male)	Cardio
31011201	Lever-Military-Press-(plate-loaded)-(female)	shoulder
31061201	Lever-Seated-Calf-Raise-(plate-loaded)-(female)	Calves
31071201	Lever-Shrug-(plate-loaded)-(female)	Back
31771201	Lever-Reverse-Hyperextension-(plate-loaded)-(female)	Hips
32001201	Lever-Bent-over-Row-with-V-bar-(plate-loaded)	Back
32111201	Kneeling-Push-up-(male)	Chest
34311201	Dumbbell-Upright-Row-(female)	Shoulder
35921201	Barbell-Curl-(female)	Upper-Arms
35981201	Cable-Seated-Wide-grip-Row-(female)	Back
35991201	Chest-Dip-(female)	Chest
36041201	Hanging-Straight-Leg-Hip-Raise-(female)	Waist
36051201	Landmine-180-(female)	waist
36071201	Lever-Back-Extension-(female)	Waist
36111201	Lever-Seated-Hip-Abduction-(female)	Hips
36121201	Lever-Seated-Hip-Adduction-(female)	Thighs
36131201	Lever-Standing-Rear-Kick-(female)	Hips
36141201	Lever-Triceps-Extension-(female)	Upper-Arms
36181201	Smith-Deadlift-(female)	Hips
36231201	Vertical-Leg-Raise-(on-parallel-bars)-(female)-(VERSION-2)	Hips
36271201	Wide-Grip-Pull-Up-(female)	Back
36291201	Lever-Lateral-Raise-(female)	Shoulder
36681201	Dumbbell-Lying-on-Floor-Chest-Press	Chest
37531201	Lever-Seated-Crunch-(chest-pad)-(female)	Waist
37801201	Band-Standing-Chest-Press-(male)	Chest
38011201	Alternate-Heel-Touchers-(female)	waist
38181201	Pike-Push-up-(female)	Chest
38441201	Band-Assisted-Pull-Up-(VERSION-3)-(female)	Back
38991201	Band-bent-over-row-(male)	Back
39001201	Shoulder-Grip-Pull-up-(female)	Back
39731201	Dumbbell-Single-Leg-Calf-Raise-(female)-(VERSION-2)	Calves
40321201	Weighted-Sissy-Squat-(female)	Thighs
42951201	Dumbbell-Walking-Lunge-(female)	Thighs
44211201	Cable-Donkey-Kickback-(female)	Hips
46181201	Band-Deadlift	Hips
46191201	Band-Standing-Hammer-Curl	Upper-Arms
46431201	Flutter-Kicks-(version-3)-(female)	Hips
51811201	Lever-Standing-Single-Leg-Curl-(plate-loaded)	Thig
57781201	Lever-Pendulum-Squat-(plate-loaded)-(female)	Thigh
66981201	Weighted-Plate-Standing-Biceps-Curl-(male)	Forearm
70001201	Dumbbell-Reverse-grip-Biceps-Curl-(female)	Forearm
74281201	Dumbbell-Lying-on-Floor-Chest-Press-(female)	Chest
77441201	Cable-Standing-Supinated-Face-Pull-(with-rope)	Sho
80901201	Cable-Lateral-Pulldown-with-Mag-Grip-(female)	Back
90041201	Cable-Triceps-Pushdown-(SZ-bar)-(female)	Upper-arm
98681201	Cable-45-degrees-Single-Arm-Reverse-Fly-(male)	Sho
99571201	Kettlebell-Single-Arm-Shoulder-Press-(male)	Should
